,Education_Level,Job_Satisfaction
0,PhD,Medium
1,High School,High
2,Master's,Medium
3,Master's,Low
4,PhD,Medium
5,PhD,High
6,Bachelor's,High
7,PhD,Low
8,High School,Low
9,Master's,High
10,PhD,High
11,Bachelor's,Low
12,Master's,Medium
13,PhD,Low
14,High School,Low
15,Master's,Low
16,Master's,Low
17,High School,Medium
18,PhD,High
19,Bachelor's,High
20,Bachelor's,Medium
21,Bachelor's,Low
22,Bachelor's,High
23,Master's,High
24,Master's,High
25,High School,Low
26,Master's,Low
27,High School,High
28,High School,Low
29,High School,High
30,Bachelor's,Medium
31,High School,High
32,Master's,Medium
33,Bachelor's,High
34,Bachelor's,Medium
35,Bachelor's,High
36,Master's,High
37,PhD,High
38,PhD,Low
39,Master's,Medium
40,Master's,Medium
41,PhD,Low
42,Bachelor's,Medium
43,PhD,Low
44,PhD,Medium
45,High School,Medium
46,PhD,High
47,Master's,Medium
48,Bachelor's,High
49,High School,Medium
50,PhD,High
51,Bachelor's,High
52,High School,Low
53,PhD,Low
54,Master's,Low
55,PhD,Low
56,Master's,High
57,High School,Low
58,Master's,High
59,Bachelor's,Low
60,Master's,Medium
61,High School,High
62,Master's,High
63,Master's,High
64,High School,Low
65,High School,Low
66,High School,Medium
67,Bachelor's,High
68,Bachelor's,Low
69,Bachelor's,High
70,Master's,Low
71,Bachelor's,Medium
72,PhD,High
73,Master's,Medium
74,PhD,Low
75,PhD,Medium
76,High School,Low
77,Bachelor's,Medium
78,High School,High
79,Master's,Low
80,PhD,Medium
81,PhD,Low
82,Master's,Medium
83,High School,High
84,Master's,Low
85,Master's,Low
86,Bachelor's,Medium
87,Bachelor's,High
88,Master's,Low
89,Bachelor's,Medium
90,Bachelor's,Medium
91,Master's,High
92,Master's,High
93,High School,High
94,Master's,High
95,PhD,Medium
96,PhD,Medium
97,PhD,Medium
98,Bachelor's,High
99,Master's,Low
100,Master's,High
101,PhD,High
102,PhD,Medium
103,High School,High
104,Bachelor's,Medium
105,High School,High
106,High School,Medium
107,Bachelor's,Medium
108,Bachelor's,Low
109,High School,Medium
110,PhD,High
111,High School,Low
112,PhD,Medium
113,High School,High
114,PhD,Low
115,High School,High
116,Bachelor's,Medium
117,Master's,High
118,PhD,High
119,High School,Medium
120,PhD,Medium
121,PhD,Medium
122,Bachelor's,High
123,PhD,Low
124,Master's,High
125,High School,Low
126,Master's,Low
127,PhD,High
128,Master's,Low
129,Master's,Low
130,PhD,Low
131,Master's,High
132,Bachelor's,Low
133,Bachelor's,Medium
134,PhD,Medium
135,Master's,Low
136,PhD,Low
137,High School,High
138,High School,Low
139,Master's,High
140,Master's,High
141,High School,Low
142,Master's,Low
143,Master's,Low
144,Bachelor's,High
145,Bachelor's,High
146,PhD,Low
147,Master's,Low
148,Master's,Medium
149,High School,High
150,Bachelor's,Low
151,Master's,High
152,High School,Low
153,PhD,High
154,Bachelor's,Low
155,High School,Medium
156,PhD,Medium
157,Master's,Low
158,Master's,Medium
159,High School,Medium
160,Master's,Medium
161,PhD,High
162,PhD,High
163,Master's,High
164,PhD,Low
165,High School,High
166,High School,Medium
167,High School,Medium
168,PhD,Low
169,Bachelor's,High
170,High School,Medium
171,High School,Low
172,Master's,Medium
173,Bachelor's,High
174,Master's,Low
175,Bachelor's,Medium
176,Master's,High
177,Master's,Low
178,Bachelor's,Low
179,High School,Medium
180,Master's,High
181,High School,High
182,Master's,Low
183,PhD,High
184,Master's,High
185,Bachelor's,High
186,PhD,Low
187,Master's,Medium
188,Master's,Low
189,Master's,High
190,High School,High
191,Bachelor's,Medium
192,Master's,High
193,Master's,High
194,Master's,Medium
195,Bachelor's,Medium
196,Master's,Medium
197,High School,High
198,Bachelor's,High
199,PhD,Low
200,PhD,Medium
201,Master's,Low
202,High School,Low
203,Master's,High
204,High School,High
205,Master's,Medium
206,Bachelor's,Low
207,PhD,Medium
208,Bachelor's,Low
209,High School,High
210,PhD,Medium
211,Bachelor's,High
212,Master's,Medium
213,Master's,Medium
214,High School,Low
215,Master's,Low
216,High School,High
217,Bachelor's,Medium
218,High School,Medium
219,Bachelor's,Low
220,PhD,Medium
221,Master's,Low
222,Bachelor's,Low
223,Master's,High
224,PhD,High
225,Bachelor's,High
226,Master's,High
227,Master's,Low
228,High School,High
229,High School,Low
230,PhD,High
231,High School,Low
232,Bachelor's,High
233,Bachelor's,High
234,High School,High
235,Master's,Medium
236,Master's,Low
237,High School,Low
238,Master's,High
239,PhD,Medium
240,PhD,Medium
241,Bachelor's,Low
242,PhD,Low
243,Master's,High
244,Bachelor's,Medium
245,Master's,Low
246,High School,Medium
247,High School,Medium
248,Master's,Medium
249,Master's,High
250,Master's,High
251,Master's,Medium
252,Bachelor's,Medium
253,Bachelor's,Low
254,PhD,Low
255,Bachelor's,High
256,Master's,Low
257,PhD,Low
258,PhD,Medium
259,PhD,Medium
260,Bachelor's,Medium
261,PhD,Low
262,High School,Medium
263,High School,High
264,Master's,Low
265,Master's,High
266,PhD,Low
267,High School,Medium
268,Master's,Low
269,High School,Medium
270,High School,Medium
271,Bachelor's,Medium
272,Master's,Low
273,Master's,Medium
274,Master's,High
275,PhD,High
276,High School,High
277,Bachelor's,Medium
278,High School,Low
279,PhD,Low
280,High School,Low
281,Master's,High
282,Master's,Medium
283,PhD,Low
284,High School,Medium
285,Bachelor's,Medium
286,Bachelor's,Medium
287,Master's,High
288,High School,High
289,Master's,Medium
290,PhD,High
291,Bachelor's,High
292,Bachelor's,Low
293,PhD,Medium
294,Master's,High
295,PhD,High
296,Bachelor's,Medium
297,Bachelor's,High
298,PhD,Low
299,High School,Medium
300,PhD,Low
301,High School,Low
302,High School,Low
303,High School,Low
304,Master's,Medium
305,High School,Medium
306,PhD,Medium
307,PhD,Low
308,Master's,Low
309,Master's,Medium
310,Master's,Low
311,High School,Medium
312,PhD,Low
313,Master's,High
314,High School,High
315,Bachelor's,Medium
316,Bachelor's,Low
317,Bachelor's,Low
318,PhD,Medium
319,High School,High
320,PhD,Medium
321,Master's,Medium
322,High School,Medium
323,High School,Low
324,High School,Low
325,PhD,High
326,PhD,High
327,Bachelor's,Low
328,High School,High
329,PhD,Medium
330,PhD,Medium
331,High School,Medium
332,Master's,Low
333,Master's,High
334,Bachelor's,Low
335,Master's,Low
336,Master's,High
337,Master's,Medium
338,High School,Medium
339,Master's,High
340,PhD,Low
341,Master's,Low
342,Master's,Medium
343,Bachelor's,High
344,High School,High
345,High School,Low
346,Master's,Low
347,Bachelor's,Low
348,PhD,Low
349,Master's,Low
350,High School,High
351,High School,Medium
352,Master's,Medium
353,High School,Medium
354,High School,Medium
355,High School,Low
356,PhD,Low
357,Master's,High
358,High School,High
359,Master's,Low
360,Master's,Medium
361,High School,Low
362,Bachelor's,Low
363,Bachelor's,Low
364,Bachelor's,Low
365,PhD,Medium
366,High School,Low
367,High School,Low
368,Master's,Low
369,PhD,Low
370,Master's,Low
371,Bachelor's,Medium
372,Master's,Low
373,PhD,High
374,Bachelor's,High
375,Bachelor's,Low
376,PhD,Medium
377,Master's,Medium
378,Bachelor's,High
379,High School,Low
380,Master's,Medium
